127.0.0.1 - - [25/Aug/2018:11:07:21 -0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:07:40 -0700] "GET /LoginApp/ HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:08:38 -0700] "GET /LoginApp/ HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:08:43 -0700] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:09:42 -0700] "GET /LoginApp/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:09:51 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:11:03 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:11:12 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:11:12 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:11:15 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:11:27 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:11:39 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:11:39 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:12:47 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:12:56 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:13:00 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:13:20 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:13:20 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [25/Aug/2018:11:13:29 -0700] "POST /LoginApp/check.form HTTP/1.1" 200 70
